"Polling_firm","PollDate","LPC","CPC","NDP","BQ","GPC","SampleSize","LPC_moe","CPC_moe","NDP_moe","BQ_moe","GPC_moe","NumDays","pollster_id"
"Nanos Research",2019-08-23,0.3366,0.3365,0.1487,0.0417,0.0941,1000,0.0149432406123973,0.0149421467667802,0.0112511470526342,0.00632148004821656,0.00923283217653175,1405,13
"EKOS",2019-08-22,0.331,0.341,0.104,0.051,0.112,1182,0.0136873167419297,0.0137883137943958,0.00887895666192821,0.00639896089280238,0.00917290204786334,1404,5
"Leger",2019-08-19,0.33,0.33,0.11,0.04,0.13,1535,0.0120016285539873,0.0120016285539873,0.0079861443531071,0.00500162839932668,0.00858375103081151,1401,11
"Ipsos",2019-08-19,0.33,0.35,0.18,0.03,0.09,1001,0.0148620025864323,0.0150755672288882,0.0121430040538801,0.00539174638414392,0.00904534033733291,1401,10
"Abacus Data",2019-08-19,0.32,0.32,0.17,0.04,0.1,2152,0.010055607472236,0.010055607472236,0.00809733996434269,0.00422420006285258,0.0064669592033884,1401,1
"DART/Maru",2019-08-17,0.32,0.39,0.15,0.05,0.07,1512,0.0119964721445658,0.0125435748429732,0.00918288608365566,0.00560493924278791,0.00656167322834318,1399,4
"Nanos Research",2019-08-16,0.3461,0.3141,0.1458,0.0416,0.1,1000,0.0150437624948016,0.0146779150426755,0.0111598548377656,0.00631422520979415,0.00948683298050514,1398,13
"Campaign Research",2019-08-13,0.32,0.33,0.13,0.04,0.12,2365,0.00959210387035188,0.00966893851945617,0.0069153749101543,0.00402948960407452,0.00668215255667645,1395,3
"Nanos Research",2019-08-09,0.35,0.3246,0.1475,0.0369,0.098,1000,0.0150831031289984,0.0148065809692852,0.0112135520688139,0.00596140839064059,0.00940191469861326,1391,13
"Abacus Data",2019-08-06,0.32,0.33,0.17,0.04,0.1,1422,0.0123702833429932,0.0124693717591349,0.00996124699179299,0.00519655841969305,0.0079555728417573,1388,1
"Nanos Research",2019-08-02,0.367,0.308,0.161,0.037,0.093,1000,0.0152417518678136,0.0145991780590552,0.0116223491601311,0.00596917079668525,0.00918428004799505,1384,13
"Mainstreet Research",2019-07-31,0.345,0.341,0.111,0.044,0.111,2463,0.0095785107638456,0.0095518543348539,0.00632965681693875,0.00413259721288126,0.00632965681693875,1382,12
"Innovative Research",2019-07-31,0.36,0.32,0.14,0.04,0.1,1804,0.0113011586243523,0.0109827520491024,0.00816949058979041,0.00461367868865275,0.00706322414022017,1382,8
"Forum Research",2019-07-28,0.31,0.34,0.12,0.05,0.12,1733,0.0111097966780383,0.0113792108557642,0.00780607424720736,0.00523537172872291,0.00780607424720736,1379,7
"EKOS",2019-07-25,0.306,0.36,0.099,0.046,0.129,1115,0.0138007603611933,0.0143748659576515,0.00894422177380533,0.00627358330889391,0.0100384462735746,1376,5
"Leger",2019-07-23,0.33,0.36,0.11,0.04,0.12,1536,0.0119977211377828,0.0122474487139159,0.00798354427348322,0.005,0.0082915619758885,1374,11
"EKOS",2019-07-18,0.336,0.313,0.125,0.031,0.125,1186,0.0137154901904225,0.0134650568943079,0.00960321580483675,0.0050326924458621,0.00960321580483675,1369,5
"Nanos Research",2019-07-19,0.356,0.3,0.186,0.04,0.09,1000,0.0151414662433993,0.0144913767461894,0.01230463327369,0.00619677335393187,0.00904986187739901,1370,13
"Research Co.",2019-07-17,0.34,0.31,0.17,0.04,0.1,1000,0.0149799866488592,0.0146253205093085,0.0118785521003193,0.00619677335393187,0.00948683298050514,1368,15
"Abacus Data",2019-07-17,0.32,0.32,0.16,0.04,0.11,1500,0.0120443624433453,0.0120443624433453,0.00946572765295938,0.00505964425626941,0.00807877878560037,1368,1
"Ipsos",2019-07-15,0.31,0.37,0.18,0.05,0.07,1000,0.0146253205093085,0.0152676127799994,0.01214907403879,0.00689202437604511,0.00806845710157772,1366,10
"Campaign Research",2019-07-12,0.33,0.32,0.14,0.04,0.14,1896,0.0107987927126431,0.0107129796270436,0.00796882109879757,0.0045003516037041,0.00796882109879757,1363,3
"Angus Reid",2019-07-12,0.3,0.38,0.14,0.04,0.1,2361,0.00943108488641093,0.00998940565440461,0.00714110222285198,0.00403290153491789,0.00617409433964744,1363,2
"Nanos Research",2019-07-12,0.359,0.297,0.185,0.048,0.083,1000,0.0151696736945789,0.0144496020706454,0.0122790471943062,0.00675988165576883,0.00872416185085994,1363,13
"EKOS",2019-07-08,0.307,0.323,0.108,0.05,0.149,948,0.0149806837653009,0.0151876796059947,0.0100806871375198,0.00707852281426482,0.0115652159257526,1359,5
"Innovative Research",2019-07-08,0.35,0.32,0.12,0.04,0.11,2515,0.00951090197937255,0.00930165978476374,0.00647982033474513,0.00390747868350268,0.00623910581348711,1359,8
"Nanos Research",2019-07-05,0.346,0.304,0.179,0.049,0.088,1000,0.0150427391122761,0.0145459272650457,0.0121226647235663,0.00682634602111554,0.00895857131466843,1356,13
"Abacus Data",2019-07-02,0.32,0.33,0.16,0.04,0.11,3092,0.00838899050587331,0.00845618797897932,0.00659295166393244,0.00352408089914234,0.00562693117632788,1353,1
"Mainstreet Research",2019-07-02,0.35,0.332,0.104,0.045,0.103,2651,0.00926372889033365,0.0091464467275809,0.00592878648981354,0.0040262717028253,0.00590350547039034,1353,12
"EKOS",2019-06-29,0.316,0.341,0.097,0.038,0.126,1194,0.0134545578012858,0.0137188508145432,0.00856500417293606,0.0055332102264766,0.00960370531507993,1350,5
"Nanos Research",2019-06-28,0.345,0.317,0.165,0.046,0.098,1000,0.0150324648677454,0.0147143127600306,0.0117377595817941,0.00662449998113065,0.00940191469861326,1349,13
"DART/Maru",2019-06-26,0.33,0.37,0.17,0.05,0.07,1512,0.0120925662590766,0.0124163870214594,0.00966023321768713,0.00560493924278791,0.00656167322834318,1347,4
